species,family,Symbiont,incidence,method,n,ref,populations,comment
Pityohyphantes phrygianus,Linyphiidae,Wolbachia,0.92,Directed PCR,36,(Gunnarsson Goodacre and Hewitt 2009),3 Sweden(3),NA
Pityohyphantes phrygianus,Linyphiidae,Rickettsia,0.08,Directed PCR,36,(Gunnarsson Goodacre and Hewitt 2009),3 Sweden(3),NA
Erigone atra,Linyphiidae,Rickettsia,0.67,Directed PCR,772,(Goodacre et al. 2009),25  England(25),NA
Erigone atra,Linyphiidae,Wolbachia,0.05,Directed PCR,796,(Goodacre et al. 2009),25  England(25),NA
Mermessus fradeorum,Linyphiidae,Rickettsia,0.43,Directed PCR,44,(Curry et al. 2015),1 Kentucky,NA
Mermessus fradeorum,Linyphiidae,Wolbachia,0.32,Directed PCR,44,(Curry et al. 2015),1 Kentucky,NA
Amaurobius fenestralis,Amaurobiidae,Wolbachia,0,Directed PCR,16,(Duron et al. 2008),1 France,NA
Amaurobius fenestralis,Amaurobiidae,Cardinium,0,Directed PCR,16,(Duron et al. 2008),1 France,NA
Agelenopsis aperta,Araneidae,Wolbachia,0,Directed PCR,20,(Duron et al. 2008),﻿1 Tennessee,NA
Agelenopsis aperta,Araneidae,Cardinium,0,Directed PCR,20,(Duron et al. 2008),﻿1 Tennessee,NA
Araneus diadematus,Araneidae,Wolbachia,0,Directed PCR,28,(Duron et al. 2008),2 Belgium(1) England(1),NA
Araneus diadematus,Araneidae,Cardinium,0,Directed PCR,28,(Duron et al. 2008),2 Belgium(1) England(1),NA
Argiope bruennichi,Araneidae,Wolbachia,0,Directed PCR,20,(Duron et al. 2008),1 Germany,NA
Argiope bruennichi,Araneidae,Cardinium,0,Directed PCR,20,(Duron et al. 2008),1 Germany,NA
Argiope lobota,Araneidae,Wolbachia,0,Directed PCR,16,(Duron et al. 2008),2 Israel(1) Spain(1),NA
Argiope lobota,Araneidae,Cardinium,0,Directed PCR,16,(Duron et al. 2008),2 Israel(1) Spain(1),NA
Cyclosa conica,Araneidae,Wolbachia,0,Directed PCR,20,(Duron et al. 2008),1 Germany,NA
Cyclosa conica,Araneidae,Cardinium,0.4,Directed PCR,20,(Duron et al. 2008),1 Germany,NA
Larinioides cornutus,Araneidae,Wolbachia,0,Directed PCR,20,(Duron et al. 2008),1 England,NA
Larinioides cornutus,Araneidae,Cardinium,0,Directed PCR,20,(Duron et al. 2008),1 England,NA
Larinioides sclopetarius,Araneidae,Wolbachia,0,Directed PCR,20,(Duron et al. 2008),1 Germany,NA
Larinioides sclopetarius,Araneidae,Cardinium,0,Directed PCR,20,(Duron et al. 2008),1 Germany,NA
Dysdera crocata,Dysderidae,Wolbachia,0,Directed PCR,2,(Duron et al. 2008),1 France,NA
Dysdera crocata,Dysderidae,Cardinium,0,Directed PCR,2,(Duron et al. 2008),1 France,NA
Linyphia triangularis,Linyphiidae,Wolbachia,0.58,Directed PCR,26,(Duron et al. 2008),3 Germany(1) England(2),NA
Linyphia triangularis,Linyphiidae,Cardinium,0.44,Directed PCR,26,(Duron et al. 2008),3 Germany(1) England(2),NA
Neriene clathrata,Linyphiidae,Wolbachia,0,Directed PCR,20,(Duron et al. 2008),1 Belgium,NA
Neriene clathrata,Linyphiidae,Cardinium,0,Directed PCR,20,(Duron et al. 2008),1 Belgium,NA
Alopecosa pulverulenta,Lycosidae,Wolbachia,0.25,Directed PCR,20,(Duron et al. 2008),1 Switzerland,﻿NA
Alopecosa pulverulenta,Lycosidae,Cardinium,0.75,Directed PCR,20,(Duron et al. 2008),1 Switzerland,NA
Pardosa lugubris,Lycosidae,Wolbachia,0,Directed PCR,20,(Duron et al. 2008),1 Germany,NA
Pardosa lugubris,Lycosidae,Cardinium,0,Directed PCR,20,(Duron et al. 2008),1 Germany,NA
Pardosa pullata,Lycosidae,Wolbachia,0.05,Directed PCR,20,(Duron et al. 2008),1 Switzerland,﻿NA
Pardosa pullata,Lycosidae,Cardinium,0,Directed PCR,20,(Duron et al. 2008),1 Switzerland,NA
Pardosa purbeckensis,Lycosidae,Wolbachia,0,Directed PCR,20,(Duron et al. 2008),1 Belgium,NA
Pardosa purbeckensis,Lycosidae,Cardinium,0,Directed PCR,20,(Duron et al. 2008),1 Belgium,NA
Holocnemus pluchei,Pholcidae,Wolbachia,0,Directed PCR,20,(Duron et al. 2008),1 France,NA
Holocnemus pluchei,Pholcidae,Cardinium,0.4,Directed PCR,20,(Duron et al. 2008),1 France,NA
Pholcus phalangioides,Pholcidae,Wolbachia,0.93,Directed PCR,40,(Duron et al. 2008),2 Germany(1) England(1),Similar in populations
Pholcus phalangioides,Pholcidae,Cardinium,0,Directed PCR,40,(Duron et al. 2008),2 Germany(1) England(1),Similar in populations
Pisaura mirabilis,Pisauridae,Wolbachia,0,Directed PCR,12,(Duron et al. 2008),1 England,NA
Pisaura mirabilis,Pisauridae,Cardinium,0,Directed PCR,12,(Duron et al. 2008),1 England,NA
Evarcha falcata,Salticidae,Wolbachia,0,Directed PCR,20,(Duron et al. 2008),1 Belgium,NA
Evarcha falcata,Salticidae,Cardinium,0.45,Directed PCR,20,(Duron et al. 2008),1 Belgium,NA
Meta mengei,Tetragnathidae,Wolbachia,0.5,Directed PCR,20,(Duron et al. 2008),1 England,Female bias
Meta mengei,Tetragnathidae,Cardinium,0,Directed PCR,20,(Duron et al. 2008),1 England,NA
Meta segmenta,Tetragnathidae,Wolbachia,0.15,Directed PCR,20,(Duron et al. 2008),1 Germany,NA
Meta segmenta,Tetragnathidae,Cardinium,0,Directed PCR,20,(Duron et al. 2008),1 Germany,NA
Pachygnatha degeeri,Tetragnathidae,Wolbachia,0.05,Directed PCR,20,(Duron et al. 2008),1 Switzerland,﻿NA
Pachygnatha degeeri,Tetragnathidae,Cardinium,0.45,Directed PCR,20,(Duron et al. 2008),1 Switzerland,NA
Pachygnatha listeri,Tetragnathidae,Wolbachia,0.25,Directed PCR,20,(Duron et al. 2008),1 Belgium,NA
Pachygnatha listeri,Tetragnathidae,Cardinium,0,Directed PCR,20,(Duron et al. 2008),1 Belgium,NA
Tetragnatha montana,Tetragnathidae,Wolbachia,0.25,Directed PCR,20,(Duron et al. 2008),1 England,Female bias
Tetragnatha montana,Tetragnathidae,Cardinium,0,Directed PCR,20,(Duron et al. 2008),1 England,NA
Enoplognatha ovata,Theridiidae,Wolbachia,0.05,Directed PCR,20,(Duron et al. 2008),1 England,NA
Enoplognatha ovata,Theridiidae,Cardinium,0,Directed PCR,20,(Duron et al. 2008),1 England,NA
Xysticus cristatus,Thomisidae,Wolbachia,0,Directed PCR,16,(Duron et al. 2008),1 England,NA
Xysticus cristatus,Thomisidae,Cardinium,0,Directed PCR,16,(Duron et al. 2008),1 England,NA
Holocnemus pluchei,Pholcidae,Cardinium,0.41,Directed PCR,510,(Stefanini and Duron 2012),26 France(18) Spain(1) Crete(1) Jordan(1) California(4) Israel(1),Not similar in populations 
Tegenaria duellica,Agelenidae,Cardinium,1,Directed PCR,4,(Martin and Goodacre 2009),1 England,NA
Araneus diadematus,Araneidae,Cardinium,0.4,Directed PCR,4,(Martin and Goodacre 2009),1 England,NA
Zygiella x-notata,Araneidae,Cardinium,1,Directed PCR,4,(Martin and Goodacre 2009),1 England,NA
Lepthyphantes minutus,Linyphiidae,Cardinium,1,Directed PCR,1,(Martin and Goodacre 2009),1 England,NA
Pholcus phalangioides,Pholcidae,Cardinium,1,Directed PCR,1,(Martin and Goodacre 2009),1 England,NA
Ghelna canadensis,Salticidae,Cardinium,1,Directed PCR,3,(Martin and Goodacre 2009),1 Illinois,NA
Habrocestum pulex,Salticidae,Cardinium,1,Directed PCR,2,(Martin and Goodacre 2009),1 Illinois,NA
Maevia inclemens,Salticidae,Cardinium,0.66,Directed PCR,3,(Martin and Goodacre 2009),1 Illinois,NA
Marpissa lineata,Salticidae,Cardinium,0.5,Directed PCR,2,(Martin and Goodacre 2009),1 Illinois,NA
Neon nelli,Salticidae,Cardinium,1,Directed PCR,2,(Martin and Goodacre 2009),1 Illinois,NA
Pelegrina proterva,Salticidae,Cardinium,0.5,Directed PCR,2,(Martin and Goodacre 2009),1 Illinois,NA
Phidippus audax,Salticidae,Cardinium,1,Directed PCR,1,(Martin and Goodacre 2009),1 Illinois,NA
Salticus scenicus,Salticidae,Cardinium,1,Directed PCR,3,(Martin and Goodacre 2009),1 England,NA
Meta mengei,Tetragnathidae,Cardinium,0.57,Directed PCR,7,(Martin and Goodacre 2009),1 England,NA
Tetragnatha montana,Tetragnathidae,Cardinium,0.66,Directed PCR,3,(Martin and Goodacre 2009),1 England,NA
Enoplognatha ovata,Theridiidae,Cardinium,1,Directed PCR,2,(Martin and Goodacre 2009),1 England,NA
Tegenaria duellica,Agelenidae,Wolbachia,0.25,Directed PCR,4,(Goodacre et al. 2006),NA,NA
Tegenaria duellica,Agelenidae,Rickettsia,0.5,Directed PCR,4,(Goodacre et al. 2006),NA,NA
Tegenaria duellica,Agelenidae,Spiroplasma,0.25,Directed PCR,4,(Goodacre et al. 2006),NA,NA
Araneus diadematus,Araneidae,Wolbachia,0.8,Directed PCR,5,(Goodacre et al. 2006),NA,NA
Araneus diadematus,Araneidae,Rickettsia,0.6,Directed PCR,5,(Goodacre et al. 2006),NA,NA
Araneus diadematus,Araneidae,Spiroplasma,0.2,Directed PCR,5,(Goodacre et al. 2006),NA,NA
Zygiella x-notata,Araneidae,Wolbachia,0.25,Directed PCR,4,(Goodacre et al. 2006),NA,NA
Zygiella x-notata,Araneidae,Rickettsia,0.75,Directed PCR,4,(Goodacre et al. 2006),NA,NA
Zygiella x-notata,Araneidae,Spiroplasma,0.75,Directed PCR,4,(Goodacre et al. 2006),NA,NA
Clubiona corticalis,Clubionidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona corticalis,Clubionidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona corticalis,Clubionidae,Spiroplasma,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona diversa,Clubionidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona diversa,Clubionidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona diversa,Clubionidae,Spiroplasma,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona lutescens,Clubionidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona lutescens,Clubionidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona lutescens,Clubionidae,Spiroplasma,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona neglecta,Clubionidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona neglecta,Clubionidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona neglecta,Clubionidae,Spiroplasma,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona norvegicus,Clubionidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona norvegicus,Clubionidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona norvegicus,Clubionidae,Spiroplasma,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona pseudoneglecta,Clubionidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona pseudoneglecta,Clubionidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona pseudoneglecta,Clubionidae,Spiroplasma,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona rosserae,Clubionidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona rosserae,Clubionidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona rosserae,Clubionidae,Spiroplasma,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona trivialis,Clubionidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona trivialis,Clubionidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona trivialis,Clubionidae,Spiroplasma,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Clubiona brevipes,Clubionidae,Wolbachia,0,Directed PCR,2,(Goodacre et al. 2006),NA,NA
Clubiona brevipes,Clubionidae,Rickettsia,0,Directed PCR,2,(Goodacre et al. 2006),NA,NA
Clubiona brevipes,Clubionidae,Spiroplasma,0,Directed PCR,2,(Goodacre et al. 2006),NA,NA
Clubiona pallidula,Clubionidae,Wolbachia,0,Directed PCR,2,(Goodacre et al. 2006),NA,NA
Clubiona pallidula,Clubionidae,Rickettsia,0,Directed PCR,2,(Goodacre et al. 2006),NA,NA
Clubiona pallidula,Clubionidae,Spiroplasma,0,Directed PCR,2,(Goodacre et al. 2006),NA,NA
Clubiona reclusa,Clubionidae,Wolbachia,0,Directed PCR,2,(Goodacre et al. 2006),NA,NA
Clubiona reclusa,Clubionidae,Rickettsia,0,Directed PCR,2,(Goodacre et al. 2006),NA,NA
Clubiona reclusa,Clubionidae,Spiroplasma,0,Directed PCR,2,(Goodacre et al. 2006),NA,NA
Clubiona subtilis,Clubionidae,Wolbachia,0,Directed PCR,2,(Goodacre et al. 2006),NA,NA
Clubiona subtilis,Clubionidae,Rickettsia,0,Directed PCR,2,(Goodacre et al. 2006),NA,NA
Clubiona subtilis,Clubionidae,Spiroplasma,0,Directed PCR,2,(Goodacre et al. 2006),NA,NA
Clubiona terrestris,Clubionidae,Wolbachia,0,Directed PCR,2,(Goodacre et al. 2006),NA,NA
Clubiona terrestris,Clubionidae,Rickettsia,0.5,Directed PCR,2,(Goodacre et al. 2006),NA,NA
Clubiona terrestris,Clubionidae,Spiroplasma,0,Directed PCR,2,(Goodacre et al. 2006),NA,NA
Clubiona comta,Clubionidae,Wolbachia,0,Directed PCR,3,(Goodacre et al. 2006),NA,NA
Clubiona comta,Clubionidae,Rickettsia,0,Directed PCR,3,(Goodacre et al. 2006),NA,NA
Clubiona comta,Clubionidae,Spiroplasma,0,Directed PCR,3,(Goodacre et al. 2006),NA,NA
Clubiona phragmitis,Clubionidae,Wolbachia,0,Directed PCR,3,(Goodacre et al. 2006),NA,NA
Clubiona phragmitis,Clubionidae,Rickettsia,0,Directed PCR,3,(Goodacre et al. 2006),NA,NA
Clubiona phragmitis,Clubionidae,Spiroplasma,0,Directed PCR,3,(Goodacre et al. 2006),NA,NA
Clubiona stagnatilis,Clubionidae,Wolbachia,0,Directed PCR,4,(Goodacre et al. 2006),NA,NA
Clubiona stagnatilis,Clubionidae,Rickettsia,0,Directed PCR,4,(Goodacre et al. 2006),NA,NA
Clubiona stagnatilis,Clubionidae,Spiroplasma,0,Directed PCR,4,(Goodacre et al. 2006),NA,NA
Cheiracanthium erraticum,Clubionidae,Wolbachia,0,Directed PCR,2,(Goodacre et al. 2006),NA,NA
Cheiracanthium erraticum,Clubionidae,Rickettsia,0,Directed PCR,2,(Goodacre et al. 2006),NA,NA
Cheiracanthium erraticum,Clubionidae,Spiroplasma,0,Directed PCR,2,(Goodacre et al. 2006),NA,NA
Haplodrassus signifer,Gnaphosidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Haplodrassus signifer,Gnaphosidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Haplodrassus signifer,Gnaphosidae,Spiroplasma,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Drassodes pubescens,Gnaphosidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Drassodes pubescens,Gnaphosidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Drassodes pubescens,Gnaphosidae,Spiroplasma,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Zelotes pusillus,Gnaphosidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Zelotes pusillus,Gnaphosidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Zelotes pusillus,Gnaphosidae,Spiroplasma,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Zelotes pedestris,Gnaphosidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Zelotes pedestris,Gnaphosidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Zelotes pedestris,Gnaphosidae,Spiroplasma,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Zelotes latreillei,Gnaphosidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Zelotes latreillei,Gnaphosidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Zelotes latreillei,Gnaphosidae,Spiroplasma,1,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Baryphma trifrons,Linyphiidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Baryphma trifrons,Linyphiidae,Rickettsia,1,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Baryphma trifrons,Linyphiidae,Spiroplasma,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Bathyphantes approximatus,Linyphiidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Bathyphantes approximatus,Linyphiidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Bathyphantes approximatus,Linyphiidae,Spiroplasma,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Bathyphantes gracilis,Linyphiidae,Wolbachia,0.2,Directed PCR,15,(Goodacre et al. 2006),NA,NA
Bathyphantes gracilis,Linyphiidae,Rickettsia,0,Directed PCR,15,(Goodacre et al. 2006),NA,NA
Bathyphantes gracilis,Linyphiidae,Spiroplasma,0,Directed PCR,15,(Goodacre et al. 2006),NA,NA
Centromerita bicolor,Linyphiidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Centromerita bicolor,Linyphiidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Centromerita bicolor,Linyphiidae,Spiroplasma,1,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Centromerus dilutus,Linyphiidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Centromerus dilutus,Linyphiidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Centromerus dilutus,Linyphiidae,Spiroplasma,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Diplocentria bidentata,Linyphiidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Diplocentria bidentata,Linyphiidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Diplocentria bidentata,Linyphiidae,Spiroplasma,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Diplocephalus cristatus,Linyphiidae,Wolbachia,1,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Diplocephalus cristatus,Linyphiidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Diplocephalus cristatus,Linyphiidae,Spiroplasma,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Diplocephalus latifrons,Linyphiidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Diplocephalus latifrons,Linyphiidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Diplocephalus latifrons,Linyphiidae,Spiroplasma,1,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Diplocephalus picinus,Linyphiidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Diplocephalus picinus,Linyphiidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Diplocephalus picinus,Linyphiidae,Spiroplasma,1,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Diplostyla concolor,Linyphiidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Diplostyla concolor,Linyphiidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Diplostyla concolor,Linyphiidae,Spiroplasma,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Dismodicus bifrons,Linyphiidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Dismodicus bifrons,Linyphiidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Dismodicus bifrons,Linyphiidae,Spiroplasma,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Entelecara flavipes,Linyphiidae,Wolbachia,1,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Entelecara flavipes,Linyphiidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Entelecara flavipes,Linyphiidae,Spiroplasma,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Entelecara omissa,Linyphiidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Entelecara omissa,Linyphiidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Entelecara omissa,Linyphiidae,Spiroplasma,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Erigone arctica,Linyphiidae,Wolbachia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
Erigone arctica,Linyphiidae,Rickettsia,0,Directed PCR,1,(Goodacre et al. 2006),NA,NA
